source_code,target_concept_id,target_concept_name
A00,198677,Cholera
A00.0,4344638,Cholera caused by Vibrio cholerae O1 Classical biotype
A00.1,200629,Cholera caused by Vibrio cholerae El Tor
A00.9,198677,Cholera
A01,133685,Salmonella infection
A01.0,192819,Typhoid fever
A01.1,195460,Paratyphoid A fever
A01.2,193953,Paratyphoid B fever
A01.3,442291,Paratyphoid C fever
A01.4,195177,Paratyphoid fever
A02,133685,Salmonella infection
A02.0,196328,Salmonella gastroenteritis
A02.1,40493039,Sepsis caused by Salmonella
A02.2,141209,Localized Salmonella infection
A02.8,133685,Salmonella infection
A02.9,133685,Salmonella infection
A03,201780,Shigellosis
A03.0,4282310,Infection caused by Group A Shigella
A03.1,4145763,Infection caused by Group B Shigella
A03.2,4185509,Infection caused by Group C Shigella
A03.3,4321384,Infection caused by Group D Shigella
A03.8,440938,Infection by Shigella
A03.9,201780,Shigellosis
A04,193402,Bacterial enteritis of intestine
A04.0,4345206,Enteropathogenic Escherichia coli gastrointestinal tract infection
A04.1,4345354,Enterotoxigenic Escherichia coli gastrointestinal tract infection
A04.2,4345355,Enteroinvasive Escherichia coli gastrointestinal tract infection
A04.3,4345207,Verotoxigenic Escherichia coli gastrointestinal tract infection
A04.4,192815,Intestinal infection caused by Escherichia coli
A04.5,198334,Enteric campylobacteriosis
A04.6,46273592,Enteritis caused by Yersinia enterocolitica
A04.7,193688,Clostridioides difficile infection
A04.8,193402,Bacterial enteritis of intestine
A04.9,193402,Bacterial enteritis of intestine
A05,441500,Bacterial food poisoning
A05.0,197776,Food poisoning caused by staphylococcus
A05.1,607203,Poisoning caused by Clostridium botulinum toxin
A05.2,196324,Food poisoning caused by Clostridium perfringens
A05.3,438670,Food poisoning caused by Vibrio parahaemolyticus
A05.4,4058528,Food poisoning caused by Bacillus cereus
A05.8,441500,Bacterial food poisoning
A05.9,441500,Bacterial food poisoning
A06,438959,Amebic infection
A06.0,4085622,Acute amebic dysentery
A06.1,4032877,Chronic amebiasis
A06.2,76022,Amebic nondysenteric colitis
A06.3,4051447,Ameboma
A06.4,194560,Amebic liver abscess
A06.5,256023,Amebic lung abscess
A06.6,373684,Amebic brain abscess
A06.7,133123,Amebiasis of skin
A06.8,438959,Amebic infection
A06.9,438959,Amebic infection
A07,196325,Protozoal intestinal disease
A07.0,197206,Balantidiasis
A07.1,437202,Giardiasis
A07.2,194265,Cryptosporidiosis
A07.3,4154124,Isosporiasis
A07.8,196325,Protozoal intestinal disease
A07.9,196325,Protozoal intestinal disease
A08,198678,Intestinal infectious disease
A08.0,199718,Enteritis caused by rotavirus
A08.1,196895,Viral gastroenteritis caused by Norwalk-like agent
A08.2,193120,Adenoviral enteritis
A08.3,196620,Viral enteritis of intestine
A08.5,198678,Intestinal infectious disease
A09,201618,Disorder of intestine
A09.0,4043371,Inflammatory disorder of digestive tract
A09.9,4043371,Inflammatory disorder of digestive tract
A15,45771090,Respiratory tuberculosis
A15.0,255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A15.1,253121,"Tuberculosis of lung, confirmed by culture only"
A15.2,256018,"Tuberculosis of lung, confirmed histologically"
A15.3,253954,Pulmonary tuberculosis
A15.4,134851,Tuberculosis of intrathoracic lymph nodes
A15.5,4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A15.6,4090539,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A15.7,45771090,Respiratory tuberculosis
A15.8,45771090,Respiratory tuberculosis
A15.9,45771090,Respiratory tuberculosis
A16,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A16.0,4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
A16.1,260630,"Tuberculosis of lung, bacteriological and histological examination not done"
A16.2,253954,Pulmonary tuberculosis
A16.3,134851,Tuberculosis of intrathoracic lymph nodes
A16.4,434557,Tuberculosis
A16.5,261495,Tuberculosis of pleura
A16.7,432541,Primary tuberculosis
A16.8,45771090,Respiratory tuberculosis
A16.9,45771090,Respiratory tuberculosis
A17,374267,Tuberculosis of central nervous system
A17.0,441775,Tuberculosis of meninges
A17.1,440937,Tuberculoma of meninges
A17.8,374267,Tuberculosis of central nervous system
A17.9,374267,Tuberculosis of central nervous system
A18,434557,Tuberculosis
A18.0,438673,Tuberculosis of bones and/or joints
A18.1,73686,Tuberculosis of genitourinary system
A18.2,432236,Tuberculosis of peripheral lymph nodes
A18.3,196019,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18.4,4153291,Tuberculosis of skin and subcutaneous tissue
A18.5,374270,Tuberculosis of eye
A18.6,378953,Tuberculosis of ear
A18.7,201779,Tuberculosis of adrenal glands
A18.8,434557,Tuberculosis
A19,434559,Miliary tuberculosis
A19.0,37117202,Acute miliary tuberculosis of single site
A19.1,4087419,Acute miliary tuberculosis of multiple sites
A19.2,435734,Acute miliary tuberculosis
A19.8,434559,Miliary tuberculosis
A19.9,434559,Miliary tuberculosis
A20,434271,Plague
A20.0,321212,Bubonic plague
A20.1,140627,Cutaneous plague
A20.2,254561,Pneumonic plague
A20.3,4088214,Plague meningitis
A20.7,442137,Septicemic plague
A20.8,434271,Plague
A20.9,434271,Plague
A21,441781,Tularemia
A21.0,312825,Ulceroglandular tularemia
A21.1,320317,Oculoglandular tularemia
A21.2,258061,Pulmonary tularemia
A21.7,4160607,Typhoidal tularemia
A21.8,441781,Tularemia
A21.9,441781,Tularemia
A22,438960,Anthrax
A22.0,138954,Cutaneous anthrax
A22.1,4034608,Inhalational anthrax
A22.2,192826,Gastrointestinal anthrax
A22.7,40489979,Sepsis caused by Bacillus anthracis
A22.8,438960,Anthrax
A22.9,438960,Anthrax
A23,441497,Brucellosis
A23.0,443590,Infection caused by Brucella melitensis
A23.1,440628,Infection caused by Brucella abortus
A23.2,443546,Infection caused by Brucella suis
A23.3,443596,Infection caused by Brucella canis
A23.8,441497,Brucellosis
A23.9,441497,Brucellosis
A24,435742,Disease caused by Gram-negative bacteria
A24.0,437492,Glanders
A24.1,4090674,Acute and fulminating melioidosis
A24.2,4090675,Subacute and chronic melioidosis
A24.3,443542,Melioidosis
A24.4,443542,Melioidosis
A25,433690,Rat bite fever
A25.0,443699,Spirillary fever
A25.1,432244,Streptobacillary fever
A25.9,433690,Rat bite fever
A26,4266323,Erysipeloid
A26.0,4345447,Cutaneous erysipeloid
A26.7,40486058,Sepsis caused by Erysipelothrix
A26.8,440939,Erysipelothrix
A26.9,4266323,Erysipeloid
A27,432246,Leptospirosis
A27.0,4134875,Weil's disease
A27.8,432246,Leptospirosis
A27.9,432246,Leptospirosis
A28,432545,Bacterial infectious disease
A28.0,436897,Pasteurella infection
A28.1,440642,Cat scratch disease
A28.2,4090680,Extraintestinal yersiniosis
A28.8,432545,Bacterial infectious disease
A28.9,432545,Bacterial infectious disease
A30,432821,Leprosy
A30.0,132238,Indeterminate leprosy
A30.1,136898,Tuberculoid leprosy
A30.2,4347522,Borderline tuberculoid leprosy
A30.3,436902,Borderline leprosy
A30.4,4345219,Borderline lepromatous leprosy
A30.5,137207,Lepromatous leprosy
A30.8,432821,Leprosy
